Video,Event,Start_time,End Time,Start_frame,End_frame,Bout_time
0428_17_59_14,Exp_withdraw,267.4,270.3666666666667,8022,8110,2.966666666666667
0428_17_59_14,Exp_withdraw,276.7,278.6666666666667,8301,8359,1.9666666666666666
0428_17_59_14,Exp_withdraw,298.4,300.7,8952,9020,2.3
0428_17_59_14,Exp_withdraw,303.03333333333336,306.7,9091,9200,3.6666666666666665
0428_17_59_14,Exp_withdraw,318.7,323.03333333333336,9561,9690,4.333333333333333
0428_17_59_14,Exp_withdraw,325.4,332.3666666666667,9762,9970,6.966666666666667
0428_17_59_14,Exp_withdraw,372.76666666666665,373.1333333333333,11183,11193,0.36666666666666664
0428_17_59_14,Exp_withdraw,422.4,423.3333333333333,12672,12699,0.9333333333333333
0428_17_59_14,Exp_withdraw,442.43333333333334,442.8333333333333,13273,13284,0.4
0428_17_59_14,Exp_withdraw,485.53333333333336,485.8666666666667,14566,14575,0.3333333333333333
0428_17_59_14,Exp_withdraw,581.7666666666667,583.5,17453,17504,1.7333333333333334
0428_17_59_14,Exp_freeze,32.03333333333333,34.666666666666664,961,1039,2.6333333333333333
0428_17_59_14,Exp_freeze,42.03333333333333,49.36666666666667,1261,1480,7.333333333333333
0428_17_59_14,Exp_freeze,54.7,64.7,1641,1940,10.0
0428_17_59_14,Exp_freeze,79.36666666666666,85.7,2381,2570,6.333333333333333
0428_17_59_14,Exp_freeze,89.03333333333333,95.36666666666666,2671,2860,6.333333333333333
0428_17_59_14,Exp_freeze,154.03333333333333,156.33333333333334,4621,4689,2.3
0428_17_59_14,Exp_freeze,188.7,190.7,5661,5720,2.0
0428_17_59_14,Exp_freeze,250.03333333333333,252.33333333333334,7501,7569,2.3
0428_17_59_14,Exp_freeze,273.3666666666667,274.7,8201,8240,1.3333333333333333
0428_17_59_14,Exp_freeze,306.73333333333335,310.0,9202,9299,3.2666666666666666
0428_17_59_14,Exp_freeze,311.3666666666667,313.7,9341,9410,2.3333333333333335
0428_17_59_14,Exp_freeze,440.26666666666665,441.1,13208,13232,0.8333333333333334
0428_17_59_14,Exp_freeze,573.1333333333333,573.6666666666666,17194,17209,0.5333333333333333
0428_17_59_14,Both_social,10.7,12.333333333333334,321,369,1.6333333333333333
0428_17_59_14,Both_social,13.4,14.033333333333333,402,420,0.6333333333333333
0428_17_59_14,Both_social,593.4333333333333,593.9,17803,17816,0.4666666666666667
0428_21_19_29,Exp_social,1.0333333333333334,8.366666666666667,31,250,7.333333333333333
0428_21_19_29,Exp_social,10.033333333333333,42.0,301,1259,31.966666666666665
0428_21_19_29,Exp_social,69.03333333333333,79.0,2071,2369,9.966666666666667
0428_21_19_29,Exp_social,81.36666666666666,88.36666666666666,2441,2650,7.0
0428_21_19_29,Exp_social,92.36666666666666,93.7,2771,2810,1.3333333333333333
0428_21_19_29,Exp_social,136.03333333333333,139.7,4081,4190,3.6666666666666665
0428_21_19_29,Exp_social,154.03333333333333,154.76666666666668,4621,4642,0.7333333333333333
0428_21_19_29,Exp_social,166.7,170.36666666666667,5001,5110,3.6666666666666665
0428_21_19_29,Exp_social,177.36666666666667,178.73333333333332,5321,5361,1.3666666666666667
0428_21_19_29,Exp_social,184.03333333333333,184.93333333333334,5521,5547,0.9
0428_21_19_29,Exp_social,188.96666666666667,190.06666666666666,5669,5701,1.1
0428_21_19_29,Exp_social,201.56666666666666,202.46666666666667,6047,6073,0.9
0428_21_19_29,Exp_social,206.53333333333333,208.1,6196,6242,1.5666666666666667
0428_21_19_29,Exp_social,232.76666666666668,233.63333333333333,6983,7008,0.8666666666666667
0428_21_19_29,Exp_social,243.96666666666667,244.6,7319,7337,0.6333333333333333
0428_21_19_29,Exp_social,259.1,259.8666666666667,7773,7795,0.7666666666666667
0428_21_19_29,Exp_social,278.46666666666664,281.4,8354,8441,2.933333333333333
